Game ID,Word,Category
21,gasoline,fossil fuel products
21,kerosene,fossil fuel products
21,natural gas,fossil fuel products
21,hexagon,shapes in geometry
21,parallelogram,shapes in geometry
21,rhombus,shapes in geometry
21,triangle,shapes in geometry
21,aristotle,ancient philosophers
21,confucius,ancient philosophers
21,plato,ancient philosophers
21,socrates,ancient philosophers
21,franco,infamous dictators
21,hitler,infamous dictators
21,stalin,infamous dictators
21,mussolini,infamous dictators
22,flame,unusual pantone colors
22,marsala,unusual pantone colors
22,serenity,unusual pantone colors
22,tangerine,unusual pantone colors
22,berkelium,rare chemical elements
22,hafnium,rare chemical elements
22,rhenium,rare chemical elements
22,thulium,rare chemical elements
22,cumulus,types of clouds
22,nimbus,types of clouds
22,stratus,types of clouds
22,cirrocumulus,types of clouds
22,bachata,latin dance styles
22,merengue,latin dance styles
22,rumba,latin dance styles
22,salsa,latin dance styles
23,batholith,uncommon geological terms
23,cretaceous,uncommon geological terms
23,peneplain,uncommon geological terms
23,talus,uncommon geological terms
23,assyria,ancient civilizations
23,babylon,ancient civilizations
23,carthage,ancient civilizations
23,sumer,ancient civilizations
23,coriolanus,lesser known shakespeare plays
23,cymbeline,lesser known shakespeare plays
23,pericles,lesser known shakespeare plays
23,titus,lesser known shakespeare plays
23,beethoven,renowned classical composers
23,haydn,renowned classical composers
23,mozart,renowned classical composers
23,verdi,renowned classical composers
24,psycho,hitchcock movies
24,rope,hitchcock movies
24,vertigo,hitchcock movies
24,rebecca,hitchcock movies
24,pentatonic,music scales
24,chromatic,music scales
24,major,music scales
24,minor,music scales
24,bosch,tool brands
24,dewalt,tool brands
24,makita,tool brands
24,ryobi,tool brands
24,conquest,the four horsemen of the apocalypse
24,death,the four horsemen of the apocalypse
24,famine,the four horsemen of the apocalypse
24,war,the four horsemen of the apocalypse
25,aether,obscure greek gods
25,erebus,obscure greek gods
25,hyperion,obscure greek gods
25,themis,obscure greek gods
25,malbec,types of wine
25,riesling,types of wine
25,syrah,types of wine
25,zinfandel,types of wine
25,fortran,computer programming languages
25,lisp,computer programming languages
25,ruby,computer programming languages
25,swift,computer programming languages
25,curie,famous scientists
25,einstein,famous scientists
25,hawking,famous scientists
25,tesla,famous scientists
26,sumerians,ancient civilizations
26,egyptians,ancient civilizations
26,mayans,ancient civilizations
26,romans,ancient civilizations
26,morpheme,linguistic terms
26,syntax,linguistic terms
26,semiotics,linguistic terms
26,phoneme,linguistic terms
26,fibrodysplasia,rare diseases
26,pantothenate,rare diseases
26,ochronosis,rare diseases
26,hyper igm,rare diseases
26,comet,celestial objects
26,pulsar,celestial objects
26,nebula,celestial objects
26,quasar,celestial objects
27,beethoven,famous composers
27,mozart,famous composers
27,bach,famous composers
27,vivaldi,famous composers
27,halberd,medieval weapons
27,trebuchet,medieval weapons
27,longsword,medieval weapons
27,crossbow,medieval weapons
27,stonehenge,archaeological sites
27,machupicchu,archaeological sites
27,pyramids,archaeological sites
27,petra,archaeological sites
27,entanglement,quantum physics terms
27,superposition,quantum physics terms
27,quark,quantum physics terms
27,boson,quantum physics terms
28,tyrannosaurus,dinosaurs
28,velociraptor,dinosaurs
28,stegosaurus,dinosaurs
28,triceratops,dinosaurs
28,pythagorean,mathematical theorems
28,fermat,mathematical theorems
28,gauss,mathematical theorems
28,riemann,mathematical theorems
28,blockchain,cryptocurrency terms
28,ether,cryptocurrency terms
28,litecoin,cryptocurrency terms
28,ripple,cryptocurrency terms
28,tanzanite,rare gems
28,grandidierite,rare gems
28,alexandrite,rare gems
28,painite,rare gems
29,galaxy,astronomical objects
29,pulsar,astronomical objects
29,nebula,astronomical objects
29,quasar,astronomical objects
29,allegro,musical terms
29,fugue,musical terms
29,cadence,musical terms
29,fortissimo,musical terms
29,beetle,entomology (study of insects)
29,mantis,entomology (study of insects)
29,firefly,entomology (study of insects)
29,dragonfly,entomology (study of insects)
29,besmirch,archaic english terms
29,gainsay,archaic english terms
29,yclept,archaic english terms
29,wight,archaic english terms
30,colosseum,ancient roman architecture
30,pantheon,ancient roman architecture
30,aqueduct,ancient roman architecture
30,forum,ancient roman architecture
30,hamlet,shakespeare plays
30,othello,shakespeare plays
30,macbeth,shakespeare plays
30,templest,shakespeare plays
30,enigma,cryptography terms
30,cyborg,cryptography terms
30,hash,cryptography terms
30,cipher,cryptography terms
30,hemlock,poisonous plants
30,belladonna,poisonous plants
30,oleander,poisonous plants
30,castor,poisonous plants
31,socrates,ancient philosophers
31,plato,ancient philosophers
31,aristotle,ancient philosophers
31,confucius,ancient philosophers
31,cretaceous,geological periods
31,jurassic,geological periods
31,triassic,geological periods
31,permian,geological periods
31,europium,rare earth elements
31,terbium,rare earth elements
31,promethium,rare earth elements
31,thulium,rare earth elements
31,nebula,astronomical terms
31,quasar,astronomical terms
31,pulsar,astronomical terms
31,galaxy,astronomical terms
32,bill,lineup
32,program,lineup
32,schedule,lineup
32,slate,lineup
32,audio,nyt offerings
32,cooking,nyt offerings
32,games,nyt offerings
32,news,nyt offerings
32,airplane,things made by folding paper
32,crane,things made by folding paper
32,fan,things made by folding paper
32,fortune teller,things made by folding paper
32,adieu,french words
32,belle,french words
32,pain,french words
32,temps,french words
33,designer,brand-name
33,haute,brand-name
33,high-end,brand-name
33,luxury,brand-name
33,concoct,devise
33,engineer,devise
33,hatch,devise
33,mastermind,devise
33,galileo,nasa spacecraft
33,pioneer,nasa spacecraft
33,viking,nasa spacecraft
33,voyager,nasa spacecraft
33,bingo,games where you say the game’s name
33,marco polo,games where you say the game’s name
33,tag,games where you say the game’s name
33,uno,games where you say the game’s name
