sentence1,sentence2,label
mozart,renowned classical composers,1
verdi,renowned classical composers,1
psycho,hitchcock movies,1
rope,hitchcock movies,1
vertigo,hitchcock movies,1
rebecca,hitchcock movies,1
pentatonic,music scales,1
chromatic,music scales,1
major,music scales,1
minor,music scales,1
bosch,tool brands,1
dewalt,tool brands,1
makita,tool brands,1
ryobi,tool brands,1
conquest,the four horsemen of the apocalypse,1
death,the four horsemen of the apocalypse,1
famine,the four horsemen of the apocalypse,1
war,the four horsemen of the apocalypse,1
aether,obscure greek gods,1
erebus,obscure greek gods,1
hyperion,obscure greek gods,1
themis,obscure greek gods,1
malbec,types of wine,1
riesling,types of wine,1
syrah,types of wine,1
zinfandel,types of wine,1
fortran,computer programming languages,1
lisp,computer programming languages,1
ruby,computer programming languages,1
swift,computer programming languages,1
curie,famous scientists,1
einstein,famous scientists,1
hawking,famous scientists,1
tesla,famous scientists,1
sumerians,ancient civilizations,1
egyptians,ancient civilizations,1
mayans,ancient civilizations,1
romans,ancient civilizations,1
morpheme,linguistic terms,1
syntax,linguistic terms,1
semiotics,linguistic terms,1
phoneme,linguistic terms,1
fibrodysplasia,rare diseases,1
pantothenate,rare diseases,1
ochronosis,rare diseases,1
hyper igm,rare diseases,1
comet,celestial objects,1
pulsar,celestial objects,1
nebula,celestial objects,1
quasar,celestial objects,1
beethoven,famous composers,1
mozart,famous composers,1
bach,famous composers,1
vivaldi,famous composers,1
halberd,medieval weapons,1
trebuchet,medieval weapons,1
longsword,medieval weapons,1
crossbow,medieval weapons,1
stonehenge,archaeological sites,1
machupicchu,archaeological sites,1
pyramids,archaeological sites,1
petra,archaeological sites,1
entanglement,quantum physics terms,1
superposition,quantum physics terms,1
quark,quantum physics terms,1
boson,quantum physics terms,1
tyrannosaurus,dinosaurs,1
velociraptor,dinosaurs,1
stegosaurus,dinosaurs,1
triceratops,dinosaurs,1
pythagorean,mathematical theorems,1
fermat,mathematical theorems,1
gauss,mathematical theorems,1
riemann,mathematical theorems,1
blockchain,cryptocurrency terms,1
ether,cryptocurrency terms,1
litecoin,cryptocurrency terms,1
ripple,cryptocurrency terms,1
tanzanite,rare gems,1
grandidierite,rare gems,1
alexandrite,rare gems,1
painite,rare gems,1
galaxy,astronomical objects,1
pulsar,astronomical objects,1
nebula,astronomical objects,1
quasar,astronomical objects,1
allegro,musical terms,1
fugue,musical terms,1
cadence,musical terms,1
fortissimo,musical terms,1
beetle,entomology (study of insects),1
mantis,entomology (study of insects),1
firefly,entomology (study of insects),1
dragonfly,entomology (study of insects),1
besmirch,archaic english terms,1
gainsay,archaic english terms,1
yclept,archaic english terms,1
wight,archaic english terms,1
colosseum,ancient roman architecture,1
pantheon,ancient roman architecture,1
aqueduct,ancient roman architecture,1
forum,ancient roman architecture,1
hamlet,shakespeare plays,1
othello,shakespeare plays,1
macbeth,shakespeare plays,1
templest,shakespeare plays,1
enigma,cryptography terms,1
cyborg,cryptography terms,1
hash,cryptography terms,1
cipher,cryptography terms,1
hemlock,poisonous plants,1
belladonna,poisonous plants,1
oleander,poisonous plants,1
castor,poisonous plants,1
socrates,ancient philosophers,1
plato,ancient philosophers,1
aristotle,ancient philosophers,1
confucius,ancient philosophers,1
cretaceous,geological periods,1
jurassic,geological periods,1
triassic,geological periods,1
permian,geological periods,1
europium,rare earth elements,1
terbium,rare earth elements,1
promethium,rare earth elements,1
thulium,rare earth elements,1
nebula,astronomical terms,1
quasar,astronomical terms,1
pulsar,astronomical terms,1
galaxy,astronomical terms,1
bill,lineup,1
program,lineup,1
schedule,lineup,1
slate,lineup,1
audio,nyt offerings,1
cooking,nyt offerings,1
games,nyt offerings,1
news,nyt offerings,1
airplane,things made by folding paper,1
crane,things made by folding paper,1
fan,things made by folding paper,1
fortune teller,things made by folding paper,1
adieu,french words,1
belle,french words,1
pain,french words,1
temps,french words,1
designer,brand-name,1
haute,brand-name,1
high-end,brand-name,1
luxury,brand-name,1
concoct,devise,1
engineer,devise,1
hatch,devise,1
mastermind,devise,1
galileo,nasa spacecraft,1
pioneer,nasa spacecraft,1
viking,nasa spacecraft,1
voyager,nasa spacecraft,1
bingo,games where you say the game’s name,1
marco polo,games where you say the game’s name,1
tag,games where you say the game’s name,1
uno,games where you say the game’s name,1
